ANO,PAIS,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
2010,BRASIL,SIN DATO,MINISTERIO IGREJA EM CELULAS NO BRASIL,2.0
2010,BRASIL,SIN DATO,MISSAO EVANGELICA UNIAO CRISTA,1.0
2010,BRASIL,SIN DATO,MUSA EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,ODYSSEUS EDITORA LTDA,5.0
2010,BRASIL,SIN DATO,ONIX EDITORIAL ECOMUNICACOES LTDA,1.0
2010,BRASIL,SIN DATO,OPERA PRIMA EDITORIAL E CULTURAL LTDA-ME,1.0
2010,BRASIL,SIN DATO,ORGANIZACAO ANDREI EDITORA LTDA,3.0
2010,BRASIL,SIN DATO,PANDORGA EDITORA E PRODUTORA LTDA,2.0
2010,BRASIL,SIN DATO,PAO E ROSAS EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,PAPA TERRA EDITORA LTDA-ME,1.0
2010,BRASIL,SIN DATO,PARABOLA EDITORIAL LTDA,7.0
2010,BRASIL,SIN DATO,PETULA VENTURA LEMOS PETERSEN - ME,17.0
2010,BRASIL,SIN DATO,PINTO E ZINCONE EDITORA LTDA,10.0
2010,BRASIL,SIN DATO,PRI PRIMAVERA EDITORIAL LTDA,4.0
2010,BRASIL,SIN DATO,PROPOSITOS - TREINAMENTO & RECURSOS,1.0
2010,BRASIL,SIN DATO,RHJ LIVROS LTDA,1.0
2010,BRASIL,SIN DATO,SANTOS E SANTOS EDITORA E ESTUDIO GRAFICO LTDA-ME,8.0
2010,BRASIL,SIN DATO,SARAIVA SA LIVREIROS EDITORES,95.0
2010,BRASIL,SIN DATO,"SERVITECH ASSESSORIA , SERVICOS TECNICOS E EDICAO DE LIVROS S/S LTDA",3.0
2010,BRASIL,SIN DATO,SOCIEDADE DE BENEFICENCIA HUMBOLDT,1.0
2010,BRASIL,SIN DATO,TARJA COMERCIO E SERVICOS EDITORIAS LTDA,2.0
2010,BRASIL,SIN DATO,TEXTO EDITORES LTDA,13.0
2010,BRASIL,SIN DATO,THESAURUS EDITORA DE BRASILIA,3.0
2010,BRASIL,SIN DATO,TRIOM CENTRO DE ESTUDOS MARINA E MARTIN HARVEY EDITORIAL E COMERCIAL LTDA-EPP,1.0
2010,BRASIL,SIN DATO,VIVEIROS DE CASTRO EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,W FENIANOS EDITORA LTDA,1.0
2010,BRASIL,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,26.0
2010,BRASIL,SIN DATO,ZOUK EDITORA E DISTRIBUIDORA LTDA,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,ALTAZOR,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,"ANTILLANCA ANTILLANCA, CRISTIAN AURELIO",1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES TACITAS,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES UNIVERSIDAD DIEGO PORTALES,2.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORA ZIG-ZAG,12.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL IDUNN LTDA.,3.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,"FUENTEALBA MILLAGUIR, RUTH MARIELA",1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,IMPORTADORA Y COMERCIALIZADORA EUROSUR LTDA.,37.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,LIRIAMANDA,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,MANUEL ENRIQUE LOYOLA TAPIA SERVICIOS EDITORIALES E.I.R.L. - ARIADNA EDICIONES,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,MARIA EUGENIA LORENZINI PIZARRO EDITORIAL E.I.R.L. - EDITORIAL FORJA,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,10.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,RED INTERNACIONAL DEL LIBRO,1.0
2010,CHILE,800 - LITERATURA Y RETÓRICA: GENERAL,VICENS VIVES CHILE S.A.,1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,CUARTO PROPIO,2.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,DIMACOFI SERVICIOS S.A.,1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,EDITORA ZIG-ZAG,9.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,EDITORIAL CUNETA,1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,"GHIGLIOTTO GHIGLIOTTO, GALO GERALDO",1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,IMPORTADORA Y COMERCIALIZADORA EUROSUR LTDA.,1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,MARIA EUGENIA LORENZINI PIZARRO EDITORIAL E.I.R.L. - EDITORIAL FORJA,1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,PENGUIN RANDOM HOUSE,48.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,RED INTERNACIONAL DEL LIBRO,1.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,UNIVERSITARIA S.A,2.0
2010,CHILE,820 - LITERATURA INGLESA E INGLESA ANTIGUA,UQBAR EDITORES,1.0
2010,CHILE,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,DIMACOFI SERVICIOS S.A.,1.0
2010,CHILE,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,LOM EDICIONES,1.0
2010,CHILE,840 - LITERATURA DE LAS LENGUAS ROMANCES,CHANCACAZO PUBLICACIONES SPA,1.0
2010,CHILE,840 - LITERATURA DE LAS LENGUAS ROMANCES,CUARTO PROPIO,1.0
2010,CHILE,840 - LITERATURA DE LAS LENGUAS ROMANCES,DIMACOFI SERVICIOS S.A.,1.0
2010,CHILE,840 - LITERATURA DE LAS LENGUAS ROMANCES,EDITORA ZIG-ZAG,4.0
2010,CHILE,840 - LITERATURA DE LAS LENGUAS ROMANCES,LOM EDICIONES,1.0
2010,CHILE,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",DIMACOFI SERVICIOS S.A.,1.0
2010,CHILE,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",EDITORA ZIG-ZAG,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ANDRES BELLO,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,ASTERION,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,COMUNICACIONES MONICACO LIMITADA - SANGRIA EDITORA,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,CUARTO PROPIO,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORIAL UNIVERSIDAD DE SANTIAGO DE CHILE,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"HUENUAN ESCALONA, JUAN EUGENIO",1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LA TRASTIENDA,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"LARA ACUNA, MARCIA ALEJANDRA",1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,LOM EDICIONES,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"MASSENLLI MANSILLA, HERNAN ANTONIO",1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PEHUEN EDITORES S.A.,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"PIZARRO GONZALEZ, MANUEL ALEJANDRO",1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,1.0
2010,CHILE,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,TAJAMAR EDITORES LIMITADA,3.0
2010,CHILE,870 - LITERATURAS LATINAS E ITALIANAS,DIMACOFI SERVICIOS S.A.,2.0
2010,CHILE,870 - LITERATURAS LATINAS E ITALIANAS,EDICIONES TACITAS,2.0
2010,CHILE,870 - LITERATURAS LATINAS E ITALIANAS,UNIVERSITARIA S.A,2.0
2010,CHILE,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,DIMACOFI SERVICIOS S.A.,1.0
2010,CHILE,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,TAJAMAR EDITORES LIMITADA,1.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,AMAPOLA EDITORES LIMITADA,9.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,ANDRES BELLO,1.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,ASOCIACION INDIGENA TREPEIN PULAMNGEN,1.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,CUARTO PROPIO,1.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,EDICIONES TACITAS,1.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,EDITORA ZIG-ZAG,1.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,EMBAJADA DEL REINO DE MARRUECOS,3.0
2010,CHILE,890 - LITERATURAS DE OTRAS LENGUAS,LOM EDICIONES,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,3J EDITORES S.A,13.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION RED COLOMBIANA PARA LA TRANSFORMACION DE LA FORMACION DOCENTE EN LENGUAJE,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,BABEL LIBROS S.A.S.,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,CONTINENTE EDITORES S.A.,2.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDICIONES B,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL CLASICO DIGITAL- JORGE GUDINO,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL EDUCATIVA KINGKOLOR S.A.S.,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL SKLA-JORGE JAVIER VALENCIA QUINTERO,2.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL UNION LTDA.,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL UNIVERSIDAD DE CALDAS,2.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,EDUCACTIVA,96.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,FUNDACION ELEGIR,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,GRAFAM S.A.S,4.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO EDITORIAL THORRE FUERTE,2.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,GRUPO PLANETA,5.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,PANAMERICANA LIBRERIA Y PAPELERIA,58.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,PENGUIN RANDOM HOUSE,34.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,RICHMOND PUBLISHING,3.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,TALLER DE EDICION-ROCCA S.A.,1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,"TORO PARDO, ANDREA JOHANNA",1.0
2010,COLOMBIA,800 - LITERATURA Y RETÓRICA: GENERAL,UNIVERSIDAD EAFIT,1.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,EDUCACTIVA,9.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,FUNDACION GILBERTO ALZATE AVENDANO,1.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,FUNDACION UNIVERSIDAD CENTRAL,1.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,GRUPO PLANETA,29.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,PANAMERICANA LIBRERIA Y PAPELERIA,1.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,PENGUIN RANDOM HOUSE,9.0
2010,COLOMBIA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,RICHMOND PUBLISHING,2.0
2010,COLOMBIA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,GRUPO PLANETA,4.0
2010,COLOMBIA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,PENGUIN RANDOM HOUSE,1.0
2010,COLOMBIA,830 - LITERATURA DE LAS LENGUAS GERMÁNICAS,UNIVERSIDAD DE ANTIOQUIA,1.0
2010,COLOMBIA,840 - LITERATURA DE LAS LENGUAS ROMANCES,GRUPO EDITORIAL THORRE FUERTE,1.0
2010,COLOMBIA,840 - LITERATURA DE LAS LENGUAS ROMANCES,GRUPO PLANETA,3.0
2010,COLOMBIA,840 - LITERATURA DE LAS LENGUAS ROMANCES,PENGUIN RANDOM HOUSE,2.0
2010,COLOMBIA,840 - LITERATURA DE LAS LENGUAS ROMANCES,UNIVERSIDAD DE ANTIOQUIA,3.0
2010,COLOMBIA,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",GRUPO PLANETA,2.0
2010,COLOMBIA,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA",PENGUIN RANDOM HOUSE,2.0
2010,COLOMBIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDUCACTIVA,5.0
2010,COLOMBIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,GRUPO PLANETA,1.0
2010,COLOMBIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"MURILLO FERNANDEZ, MARY EDITH",1.0
2010,COLOMBIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,PENGUIN RANDOM HOUSE,1.0
2010,COLOMBIA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,UNIVERSIDAD PONTIFICIA BOLIVARIANA,1.0
2010,COLOMBIA,880 - LITERATURAS GRIEGAS CLÁSICAS Y MODERNAS,PENGUIN RANDOM HOUSE,1.0
2010,COLOMBIA,890 - LITERATURAS DE OTRAS LENGUAS,EDUCACTIVA,10.0
2010,COLOMBIA,890 - LITERATURAS DE OTRAS LENGUAS,FUNDACION LITERARIA COMUN PRESENCIA,2.0
2010,COLOMBIA,890 - LITERATURAS DE OTRAS LENGUAS,GRUPO PLANETA,2.0
2010,COLOMBIA,890 - LITERATURAS DE OTRAS LENGUAS,PANAMERICANA LIBRERIA Y PAPELERIA,1.0
2010,COLOMBIA,890 - LITERATURAS DE OTRAS LENGUAS,PENGUIN RANDOM HOUSE,5.0
2010,COLOMBIA,890 - LITERATURAS DE OTRAS LENGUAS,UNIVERSIDAD DE ANTIOQUIA,1.0
2010,COSTA RICA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL DE LA UNIVERSIDAD DE COSTA RICA,8.0
2010,COSTA RICA,800 - LITERATURA Y RETÓRICA: GENERAL,MONTEMIRA,1.0
2010,COSTA RICA,800 - LITERATURA Y RETÓRICA: GENERAL,PRODUCCIONES DEL RIO NEVADO S.A.,1.0
2010,COSTA RICA,800 - LITERATURA Y RETÓRICA: GENERAL,WOMEN'S WELL-BEING & DEVELOPMENT FOUNDATION,5.0
2010,COSTA RICA,820 - LITERATURA INGLESA E INGLESA ANTIGUA,MONTEMIRA,1.0
2010,CUBA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDICIONES ALARCOS,1.0
2010,ECUADOR,800 - LITERATURA Y RETÓRICA: GENERAL,CORPORACION EDITORIAL EL CONEJO,2.0
2010,ECUADOR,800 - LITERATURA Y RETÓRICA: GENERAL,FUNDACION OTONGA,2.0
2010,ECUADOR,800 - LITERATURA Y RETÓRICA: GENERAL,"PILATAXI GARCIA, LILY NORMANDIA",1.0
2010,ECUADOR,820 - LITERATURA INGLESA E INGLESA ANTIGUA,CODIGOS DE VIDA - ZOEGRAF PRODUCCIONES CIA. LTDA.,3.0
2010,ECUADOR,820 - LITERATURA INGLESA E INGLESA ANTIGUA,CORPORACION EUGENIO ESPEJO POR EL LIBRO Y LA CULTURA,2.0
2010,ECUADOR,820 - LITERATURA INGLESA E INGLESA ANTIGUA,"GALVEZ STECCANELLA, JAVIER ITALO ANTONIO EDUARDO",1.0
2010,ECUADOR,820 - LITERATURA INGLESA E INGLESA ANTIGUA,TARJEAL CIA. LTDA.,12.0
2010,ECUADOR,"850 - LITERATURA ITALIANA, RUMANA, RETORROMANA","GALVEZ STECCANELLA, JAVIER ITALO ANTONIO EDUARDO",1.0
2010,ECUADOR,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"MENDEZ ROMERO, ALEX PATRICIO",1.0
2010,ECUADOR,890 - LITERATURAS DE OTRAS LENGUAS,PARADISO EDITORES,1.0
2010,EL SALVADOR,800 - LITERATURA Y RETÓRICA: GENERAL,"ESCUELA DE JOVENES TALENTOS EN LETRAS, UNIVERSIDAD DR. JOSE MATIAS DELGADO",2.0
2010,EL SALVADOR,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"CRUCHAGA, ANDRE",1.0
2010,EL SALVADOR,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,"ESCUELA DE JOVENES TALENTOS EN LETRAS, UNIVERSIDAD DR. JOSE MATIAS DELGADO",1.0
2010,GUATEMALA,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION DE AMIGOS DEL MUSEO IXCHEL,1.0
2010,GUATEMALA,800 - LITERATURA Y RETÓRICA: GENERAL,EDITORIAL SAQIL TZIJ,4.0
2010,GUATEMALA,800 - LITERATURA Y RETÓRICA: GENERAL,"GARE DE CREACION, S.A. (PS)",2.0
2010,GUATEMALA,800 - LITERATURA Y RETÓRICA: GENERAL,"MANSYLLA VASQUEZ DE HENRY, CELESTE ASCENCION",1.0
2010,GUATEMALA,860 - LITERATURAS ESPAÑOLA Y PORTUGUESA,EDITORIAL MAYA' WUJ,1.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,ADVANCED MARKETING,114.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,ARMENTA MALPICA LUIS,4.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,ASCENCIO GOMEZ ESTEBAN,1.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,ASOCIACION MEXICANA DE PROMOCION Y CULTURA SOCIAL,1.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,"BAYARDO DODGE, MARIA LUCIA",1.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,CALLIS NINOS,1.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,CASA DE ESTUDIOS DE LITERATURA Y TALLERES ARTISTICOS AMAQUEMECAN,1.0
2010,MÉXICO,800 - LITERATURA Y RETÓRICA: GENERAL,"COLLADO GARCIA, ANA CLAUDIA",1.0
