REGION_BRASIL_LATAM,ANO,IDIOMA.DEL.ESTANDARIZADO.COMPLETO,IDIOMA.ESTANDARIZADO.COMPLETO,SUBCATEGORIA.DEWEY,GRUPO_EDITORIAL_COMPLETO,CANTIDAD_REGISTROS
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GRAFICA EDITORA STAMPPA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GRUPO ARTESANAL,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ICONE EDITORA LTDA,4.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,IDEA EDITORA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,IMAGO EDITORA IMPORTACAO E EXPORTACAO LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,INSTITUTO BRAS. DO MEIO AMB. E DOS RECUR NAT RENOV,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,LEONID STRELIAEV,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,LIVRARIA ELDORADO TIJUCA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,M4 PRODUCOES ARTISTICAS LTDA-ME,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MADRAS EDITORA,6.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MALHEIROS EDITORES LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MANUELA EDITORIAL LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARES TIZZOT EDITORA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,NATUGRAF LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ODYSSEUS EDITORA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PHOENIX PROJETOS E SERVICOS CULTURAIS LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PINTO E ZINCONE EDITORA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,RUSSELL EDITORA LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,SARAIVA SA LIVREIROS EDITORES,19.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,"SERVITECH ASSESSORIA , SERVICOS TECNICOS E EDICAO DE LIVROS S/S LTDA",1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,SUPREMA CULTURA EDITORA E DISTRIBUIDORA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,TEXTO EDITORES LTDA,2.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ZOOM EDITORA EDUCACIONAL LTDA,1.0
BRASIL,2010,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ZOUK EDITORA E DISTRIBUIDORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,A PAGINA DISTRIBUIDORA DE LIVROS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ACAO SOCIAL CLARETIANA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ALAUDE EDITORIAL LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,"ALMEDINA BRASIL IMPORTACAO, EDICAO E COMERCIO DE LIVROS LTDA",1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,AMGH EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,"ANADARCO EDICOES, PRODUCOES CULTURAIS LTDA",1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ANNABLUME EDITORA E COMUNICACAO LTDA.,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ARC - EDITORA E PRODUCOES CULTURAIS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ARTMED EDITORA,7.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ASSOCIACAO INTERNACIONAL DE ESCRITORES E ARTISTAS,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ASSOCIACAO NOVA SHALOM,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ASSOCIACAO PARA PROMOCAO HUMANA E DESENVOLVIMENTO SOCIAL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ASSOCIACAO RELIGIOSA EDITORIAL MUNDO CRISTAO,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,AVES E FOTOS PRESTACAO DE SERVICOS DE IMAGENS E EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BARTLEBEE EDITORA LTDA,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BASE EDITORIAL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BOMPASTOR PRODUCOES ARTISTICAS E PHONOGRAFICAS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,BRASIL IMAGEM SERVICOS FOTOGRAFICOS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CALEIDOSCOPIO CRIACAO E DESENHO,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CALLIS EDITORA LTDA,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CARLOS EDUARDO RODRIGUES BONITO - EDITORA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CASA PUBLICADORA DAS ASSEMBLEIAS DE DEUS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CENGAGE LEARNING,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CENTRO DE ESTUDOS VIDA E CONSCIENCIA E EDITORA LTDA,3.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CENTRO DIFUSOR DE CULTURA LTDA,8.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CENTRO SCALABRINIANO DE ESTUDOS MIGRATORIOS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CIDADE GRAFICA E EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CIRANDA CULTURAL,41.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CLAUDIO RIBEIRO DA SILVA - EDITORA PRO-LEITURA ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,COMBOIO DO CORDA EDITORA LTDA,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,COMPANHIA MELHORAMENTOS DE SAO PAULO,33.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CORTEZ EDITORA E LIVRARIA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,COSAC & NAIFY EDICOES LTDA,9.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CRIS CORREA CONSULTORIA EM PROJETOS CULTURAIS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,CULTURA SUB PRODUTORA ARTISTICA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,DEVIR LIVRARIA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,DIALETO LATIN AMERICAN DOCUMENTARY,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,DIFUSAO CULTURAL DO LIVRO LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,DISTRIBUIDORA DE EDICOES PEDAGOGICAS LTDA,5.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ECONAME - EMPRESA DE CONSULTORIA EM ARQUEOLOGIA E MEIO AMBIENTE LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDIPRO EDICOES PROFISSIONAIS LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ALTO ASTRAL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ATICA,3.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ATOMO LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA AUTORES ASSOCIADOS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA CENACULO UNIVERSAL LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA CIENCIA MODERNA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA CNA CULTURAL NORTE AMERICANO LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA DECOR LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA E GRAFICA UNIVERSITARIA - UFPEL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA EDGARD BLUCHER,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ESCALA LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA FTD,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA FUNDAMENTO EDUCACIONAL LTDA,22.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA HERCULES LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA IBPEX LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ILUMINURAS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA LUZ AS NACOES LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA MAGIA DE LER LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA MODERNA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA NAOS LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA OBJETIVA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ORIGEM LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA PAZ E TERRA S/A,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA PENSAMENTO-CULTRIX,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA PORTO DE IDEIAS EPP,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA POSITIVO LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA REVISTA DOS TRIBUNAIS LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA ROCCO,11.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA SCHWARCZ,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA TECMEDD LTDA,9.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA UNDERWORLD LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA VALE DAS LETRAS,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA VERMELHO MARINHO USINA DE LETRAS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA VOZES,7.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EDITORA WMF MARTINS FONTES,5.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ELSEVIER,12.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ENSINAMENTO EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,EO EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ERIVELTO LUIS DO COUTO,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ESCRITURAS EDITORA DISTRIBUIDORA DE LIVROS LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FAC FORM IMPRESSOS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FASE 10 PRODUCOES ARTISTICAS LTDA ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FINO TRACO EDITORA LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FUNDACAO DE AMPARO A PESQUISA E EXTENSAO UNIVERSITARIA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FUNDACAO GETULIO VARGAS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FUNDACAO NACIONAL DE ARTE,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GAMBA PRODUCOES ARTISTICAS E COMERCIO DE IMAGENS LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GERACAO EDITORIAL,3.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GMT EDITORES LTDA,8.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GRUPO ARTESANAL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GRUPO OXIGENIO LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,GRUPO PLANETA,6.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,HIRAM FIRMINO - COMUNICACAO EM MEIO AMBIENTE LTDA-EPP,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,IBC INSTITUTO BRASILEIRO DE CULTURA LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,INSIGHT ENGENHARIA DE COMUNICACAO & MARKETING LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,INSTITUTO BRASILEIRO DE EDICOES PEDAGOGICAS,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,"INSTITUTO BRASILEIRO DE INFORMACAO, CIENCIA E TECNOLOGIA",1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,INSTITUTO DE INTEGRACAO RELACIONAL LTDA - ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,INSTITUTO GEIA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,INSTITUTO SOCIOAMBIENTAL,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,JAPORAMA EDITORA E COMUNICACAO,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,JURANDIR BARBOSA DURAES DE OLIVEIRA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,JURUA EDITORA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,L&PM EDITORES,4.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,LIVRARIA E EDITORA REVINTER LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,LIVROS DE SAFRA EDITORA E COMERCIO LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,LTC - LIVROS TECNICOS E CIENTIFICOS EDITORA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,LTR EDITORA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MADRAS EDITORA,5.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARCELO GRECO,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARES TIZZOT EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARIA ELIZABETH GONTIJO DE BRITO,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARIA LUCIA PESSOA SANTOS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARIA LUIZA VOLPINI DE MENDONCA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MARTINS EDITORA LIVRARIA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MILFOLHAS PRODUCAO EDITORIAL LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MINAS GERAIS SECRETARIA DE ESTADO DA CULTURA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MIRIAN PAGLIA EDITORA DE CULTURA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MISSAO EVANGELICA LITERARIA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MULTI MARCAS EDITORIAIS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,MUSEU DE ARTE MODERNA DE SAO PAULO,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,NATUGRAF LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,NILTON SOUZA FOTOGRAFIAS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,NOVO SECULO EDITORA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ODYSSEUS EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ORGANIZACAO ANDREI EDITORA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,OTTONI & CIA LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PANAVIEW PRODUCOES LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PANDORGA EDITORA E PRODUTORA LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PAPA TERRA EDITORA LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PIA SOCIEDADE FILHAS DE SAO PAULO,5.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PINO DUARTE MERY PILAR - EDITORIAL SERVILIBROS,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PRIME ONE EDITORA LTDA-ME,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,"PRIMEIRA PAGINA EDITORA - ASSESSORIA, PUBLICIDADE E PROMOCOES LTDA",1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PRINT HOUSE COMUNICACAO E IMAGEM LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,PUBLIKIMAGEM COMUNICACAO E EMPREENDIMENTOS CULTURAIS LTDA,1.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,QUINTESSENCE EDITORA LTDA,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,RAI EDITORA E PROJETOS EDITORIAIS LTDA-ME,2.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,READER'S DIGEST DO BRASIL LTDA,3.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,RENDER CURSOS LTDA.,6.0
BRASIL,2011,SIN IDENTIFICAR,SIN IDENTIFICAR,SIN DATO,ROSA VERMELHA LTDA,1.0
